Year,Major_Activities,Country,Percentage,Tourist_Arrivals,Continent
2019,Nightlife/Entertainment,Pakistan,13,105757,South Asia
2019,Nightlife/Entertainment,Saudi Arabia,11,121444,West Asia
2019,Nightlife/Entertainment,United Arab Emirates,18.3,11174,West Asia
2019,Nightlife/Entertainment,Oman,7.4,23911,West Asia
2019,Nightlife/Entertainment,Kuwait,19.3,9632,West Asia
2019,Nightlife/Entertainment,Iran,11.4,46559,West Asia
2019,Nightlife/Entertainment,Canada,35,87568,America
2019,Nightlife/Entertainment,United States of America,48.5,269928,America
2019,Nightlife/Entertainment,United Kingdom,26.7,346485,Europe
2019,Nightlife/Entertainment,Ireland,21.5,19696,Europe
2019,Nightlife/Entertainment,Sweden,29.5,29592,Europe
2019,Nightlife/Entertainment,Denmark,58.9,22314,Europe
2019,Nightlife/Entertainment,Finland,30.5,13557,Europe
2019,Nightlife/Entertainment,Norway,21.8,14585,Europe
2019,Nightlife/Entertainment,Italy,24.6,54710,Europe
2019,Nightlife/Entertainment,Spain,19.5,43616,Europe
2019,Nightlife/Entertainment,France,24.2,141661,Europe
2019,Nightlife/Entertainment,Belgium,28.7,22082,Europe
2019,Nightlife/Entertainment,Netherlands,29.2,82110,Europe
2019,Nightlife/Entertainment,Germany,22.8,130221,Europe
2019,Nightlife/Entertainment,Switzerland,25.9,25659,Europe
2019,Nightlife/Entertainment,Russia,17.7,79984,Europe
2019,Nightlife/Entertainment,Australia,34.1,368271,Non Southeast Asia
2019,Nightlife/Entertainment,New Zealand,40.1,50140,Non Southeast Asia
2019,Nightlife/Entertainment,South Africa,13.2,22674,Non Southeast Asia
2019,Nightlife/Entertainment,Central Asia,6.1,35931,Non Southeast Asia
2019,Nightlife/Entertainment,Other ASEAN,8.4,170309,Southeast Asia
2019,Nightlife/Entertainment,Other East Asia,0,5331,East Asia
2019,Nightlife/Entertainment,Other South Asia,18.8,254822,South Asia
2019,Nightlife/Entertainment,Other West Asia,12,96504,West Asia
2019,Nightlife/Entertainment,Other Americas,26.1,49226,America
2019,Nightlife/Entertainment,Other Europe,21.7,155032,Europe
2019,Nightlife/Entertainment,Others,11.1,150216,Non Southeast Asia
